应付金额,实际金额,商品,支付时间,地点
3.0,3.0,美年达（罐）,2017/1/10 17:36,D
4.0,4.0,脉动,2017/1/10 17:40,D
4.0,4.0,450ml美汁源果粒橙,2017/1/10 17:46,D
4.5,4.5,40g乐事薯片黄瓜味,2017/1/10 17:50,D
3.0,3.0,可口可乐最新款,2017/1/10 17:52,D
3.5,3.5,500ml统一冰糖雪梨,2017/1/10 17:53,D
1.2,1.2,10g卫龙亲嘴烧香辣味,2017/1/10 18:05,D
2.0,2.0,怡宝纯净水,2017/1/10 18:19,D
2.0,2.0,怡宝纯净水,2017/1/10 18:21,D
1.6,1.6,2g韩国海牌海苔,2017/1/10 18:35,D
3.0,3.0,250ml维他原味豆奶,2017/1/10 18:52,D
6.5,6.5,430g泰奇八宝粥,2017/1/10 19:11,D
4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/10 19:15,D
3.0,3.0,统一冰红茶,2017/1/10 19:18,D
7.0,7.0,150g洽洽原香瓜子,2017/1/10 19:46,D
3.0,3.0,40g双汇玉米热狗肠,2017/1/10 19:48,D
4.5,4.5,脉动,2017/1/10 19:58,D
4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/10 20:08,D
3.0,3.0,印尼芝士威化饼干,2017/1/10 20:21,D
4.0,4.0,85g新麦潮北海道吐司,2017/1/10 21:14,D
1.5,1.5,12g劲仔小鱼麻辣味,2017/1/10 21:17,D
2.5,2.5,250ml王老吉盒装,2017/1/10 21:36,D
6.5,6.5,91g徐福记凤梨酥,2017/1/10 21:43,D
10.0,10.0,口味王槟榔（绿）,2017/1/10 22:17,D
4.5,4.5,250ml燕塘原味酸奶,2017/1/10 22:45,D
6.0,6.0,480ml小茗同学冷泡溜溜哒茶,2017/1/10 23:21,D
1.6,1.6,20g咪咪虾条马来西亚风味,2017/1/10 23:22,D
1.5,1.5,45g双汇泡面拍挡,2017/1/10 23:25,D
4.5,4.5,65g卫龙亲嘴豆皮,2017/1/10 23:38,D
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/11 0:27,D
4.0,4.0,55g奥利奥原味芝士饼干,2017/1/11 2:24,D
4.5,4.5,250ml燕塘红枣牛奶,2017/1/11 2:34,D
3.5,3.5,阿萨姆奶茶,2017/1/11 2:40,D
6.0,6.0,86g合味道海鲜风味,2017/1/11 4:22,D
4.0,4.0,脉动,2017/1/11 4:33,D
8.0,8.0,55g奥利奥原味芝士饼干,2017/1/11 7:16,D
1.5,1.5,40g双汇玉米热狗肠,2017/1/11 7:32,D
3.0,3.0,250ml维他柠檬茶,2017/1/11 7:33,D
1.6,1.6,2g韩国海牌海苔,2017/1/11 7:38,D
2.5,2.5,雪碧最新款,2017/1/13 15:35,D
4.5,4.5,68g好丽友巧克力派2枚,2017/1/15 22:38,D
2.5,2.5,145ml旺仔牛奶盒装,2017/1/16 14:28,D
2.5,2.5,无穷农场盐_鸡蛋,2017/1/16 16:17,D
5.5,5.5,85g统一老坛酸菜牛肉面,2017/1/16 17:34,D
4.0,4.0,尖叫,2017/1/16 17:46,D
3.5,3.5,东鹏特饮,2017/1/16 17:47,D
3.0,3.0,250ml维他原味豆奶,2017/1/17 10:23,D
10.0,10.0,口味王槟榔（绿）,2017/1/20 18:02,D
12.5,12.5,100g*5瓶益力多,2017/1/22 12:33,D
4.5,4.5,180ml雀巢咖啡罐装,2017/1/22 14:28,D
3.5,3.5,东鹏特饮,2017/1/23 16:20,D
4.5,4.5,65g卫龙亲嘴豆皮,2017/1/26 9:04,D
4.0,4.0,银鹭八宝粥,2017/1/26 9:04,D
4.5,4.5,50g上好佳日式鱼果,2017/1/27 16:22,D
4.0,4.0,银鹭八宝粥,2017/1/27 16:22,D
3.0,3.0,250ml维他原味豆奶,2017/1/28 13:01,D
3.0,3.0,统一冰红茶,2017/1/28 23:51,D
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/29 8:50,D
4.0,4.0,银鹭八宝粥,2017/1/29 13:41,D
3.0,3.0,40g双汇玉米热狗肠,2017/1/29 19:12,D
2.4,2.4,20g马来西亚风味咪咪蟹味粒0219,2017/1/29 19:40,D
3.5,3.5,维他原味豆奶,2017/1/29 21:08,D
2.0,2.0,85g新麦潮手撕面包（提子味）,2017/1/29 22:46,D
7.0,7.0,145g果王迷你山楂包装,2017/1/30 0:04,D
4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/30 0:09,D
4.5,4.5,55g奥利奥原味芝士饼干,2017/1/30 0:15,D
1.2,1.2,10g卫龙亲嘴烧香辣味,2017/1/30 8:56,D
3.5,3.5,600ml可口可乐,2017/1/30 9:27,D
4.5,4.5,40g双汇玉米热狗肠,2017/1/30 12:21,D
3.5,3.5,东鹏特饮,2017/1/30 14:14,D
6.0,6.0,370g泰奇八宝粥,2017/1/30 14:50,D
0.0,0.0,85g新麦潮北海道吐司,2017/1/30 15:39,D
1.0,1.0,小鱼仔,2017/1/30 16:09,D
4.5,4.5,阿萨姆奶茶,2017/1/30 16:33,D
4.0,4.0,150g健能酸奶原味,2017/1/30 16:38,D
1.5,1.5,鸭翅,2017/1/30 16:44,D
4.5,4.5,50g上好佳田园薯片番茄味,2017/1/30 18:26,D
3.5,3.5,乖媳妇野山椒风爪,2017/1/30 18:40,D
3.0,3.0,印尼芝士威化饼干,2017/1/30 19:27,D
1.5,1.5,鸭翅,2017/1/30 20:09,D
1.0,1.0,小鱼仔,2017/1/30 20:50,D
4.0,4.0,营养快线,2017/1/30 20:52,D
3.0,3.0,印尼芝士威化饼干,2017/1/30 21:07,D
4.5,4.5,250ml燕塘原味酸奶,2017/1/30 21:35,D
2.0,2.0,怡宝纯净水,2017/1/30 21:35,D
4.0,4.0,150g健能酸奶原味,2017/1/30 22:39,D
4.5,4.5,250ml燕塘红枣牛奶,2017/1/30 22:59,D
4.0,4.0,营养快线,2017/1/31 14:34,D
2.5,2.5,美年达（罐）,2017/1/31 14:40,D
3.0,3.0,可口可乐（500ml）,2017/1/31 14:41,D
1.5,1.5,香脆肠,2017/1/31 14:51,D
3.0,3.0,统一冰红茶,2017/1/31 14:52,D
3.0,3.0,统一绿茶,2017/1/31 15:00,D
1.5,1.5,香脆肠,2017/1/31 15:08,D
3.0,3.0,雪碧最新款,2017/1/31 15:13,D
3.0,3.0,雪碧最新款,2017/1/31 15:17,D
1.0,1.0,小鱼仔,2017/1/31 15:28,D
3.0,3.0,统一绿茶,2017/1/31 15:35,D
1.5,1.5,香脆肠,2017/1/31 16:45,D
1.5,1.5,鸭翅,2017/1/31 17:20,D
1.5,1.5,香豆干,2017/1/31 17:33,D
3.0,3.0,统一绿茶,2017/1/31 19:34,D
3.0,3.0,雪碧（500ml）,2017/1/31 19:56,D
1.5,1.5,香脆肠,2017/1/31 20:15,D
1.5,1.5,香脆肠,2017/1/31 20:16,D
3.0,3.0,雪碧最新款,2017/1/31 21:29,D
3.0,3.0,熊字饼,2017/1/31 22:57,D
3.0,3.0,统一冰红茶,2017/1/31 23:10,D
2.5,2.5,怡宝纯净水,2017/2/1 12:33,D
3.0,3.0,熊字饼,2017/2/1 12:37,D
2.0,2.0,香脆肠,2017/2/1 13:57,D
4.0,4.0,阿萨姆奶茶,2017/2/1 14:31,D
1.0,1.0,小鱼仔,2017/2/1 14:42,D
3.0,3.0,茉莉蜜茶,2017/2/1 14:57,D
2.0,2.0,怡宝纯净水,2017/2/1 16:00,D
2.5,2.5,美年达（罐）,2017/2/1 16:07,D
2.5,2.5,怡宝纯净水,2017/2/1 17:35,D
3.5,3.5,东鹏特饮,2017/2/1 21:09,D
3.5,3.5,东鹏特饮,2017/2/1 21:47,D
2.5,2.5,伊利优酸乳,2017/2/1 21:50,D
2.0,2.0,鸭翅,2017/2/2 9:10,D
3.5,3.5,可乐可乐,2017/2/2 12:14,D
15.0,15.0,口味王槟榔（红）,2017/2/2 12:14,D
3.0,3.0,可口可乐（500ml）,2017/2/2 14:04,D
2.0,2.0,怡宝纯净水,2017/2/2 14:25,D
3.5,3.5,维他原味豆奶,2017/2/2 14:42,D
1.0,1.0,香豆干,2017/2/2 14:42,D
3.0,3.0,伊利纯牛奶,2017/2/2 19:13,D
3.0,3.0,可口可乐（500ml）,2017/2/2 20:30,D
1.0,1.0,咪咪,2017/2/2 21:12,D
4.5,4.5,78g卫龙亲嘴语辣条,2017/2/2 21:13,D
3.0,3.0,维他奶,2017/2/2 21:13,D
3.5,3.5,东鹏特饮,2017/2/2 21:18,D
3.5,3.5,东鹏特饮,2017/2/2 21:19,D
3.0,3.0,可口可乐（500ml）,2017/2/2 22:01,D
4.0,4.0,营养快线,2017/2/2 22:34,D
3.0,3.0,可口可乐最新款,2017/2/3 16:04,D
3.0,3.0,可口可乐最新款,2017/2/3 19:32,D
3.0,3.0,可口可乐（500ml）,2017/2/3 20:35,D
4.0,4.0,王老吉（500ml）,2017/2/3 20:39,D
3.5,3.5,东鹏特饮,2017/2/4 9:27,D
3.0,3.0,统一冰红茶,2017/2/4 12:08,D
1.5,1.5,香脆肠,2017/2/4 13:08,D
3.0,3.0,统一冰红茶,2017/2/4 14:12,D
4.0,4.0,脉动,2017/2/4 15:52,D
2.5,2.5,怡宝纯净水,2017/2/4 16:00,D
4.0,4.0,脉动,2017/2/4 16:32,D
3.0,3.0,伊利纯牛奶,2017/2/4 17:02,D
2.5,2.5,伊利优酸乳,2017/2/4 17:41,D
1.5,1.5,鸭翅,2017/2/4 19:00,D
1.0,1.0,香豆干,2017/2/4 19:07,D
3.0,3.0,果粒橙,2017/2/4 19:18,D
4.0,4.0,王老吉（500ml）,2017/2/4 19:51,D
3.5,3.5,王老吉（罐）,2017/2/4 20:22,D
1.0,1.0,香豆干,2017/2/4 20:32,D
3.0,3.0,卫龙大面筋,2017/2/5 9:10,D
3.5,3.5,冰糖雪梨,2017/2/5 9:14,D
5.0,5.0,500ml统一阿萨姆奶茶,2017/2/5 14:29,D
3.5,3.5,东鹏特饮,2017/2/5 14:29,D
2.5,2.5,雪碧最新款,2017/2/5 14:34,D
3.5,3.5,东鹏特饮,2017/2/5 14:55,D
4.0,4.0,营养快线,2017/2/5 14:59,D
3.0,3.0,伊利纯牛奶,2017/2/5 15:03,D
2.0,2.0,怡宝,2017/2/5 15:20,D
3.0,3.0,卫龙大面筋,2017/2/5 15:55,D
1.5,1.5,鸭翅,2017/2/5 16:31,D
4.0,4.0,阿萨姆奶茶,2017/2/5 17:41,D
4.0,4.0,阿萨姆奶茶,2017/2/5 18:14,D
2.5,2.5,伊利优酸乳,2017/2/5 18:38,D
1.0,1.0,香豆干,2017/2/5 20:03,D
4.0,4.0,阿萨姆奶茶,2017/2/5 21:05,D
3.5,3.5,东鹏特饮,2017/2/5 21:35,D
10.0,10.0,湘潭铺子(羽泉版),2017/2/7 8:50,D
3.5,3.5,王老吉（罐）,2017/2/7 8:59,D
3.0,3.0,雪碧（500ml）,2017/2/7 9:02,D
1.0,1.0,香豆干,2017/2/7 9:04,D
3.0,3.0,汤达人桶面,2017/2/7 16:27,D
2.0,2.0,怡宝纯净水,2017/2/7 20:35,D
3.0,3.0,茉莉蜜茶,2017/2/7 23:03,D
3.0,3.0,统一绿茶,2017/2/7 23:05,D
3.0,3.0,统一冰红茶,2017/2/8 16:08,D
2.5,2.5,怡宝纯净水,2017/2/8 16:37,D
3.0,3.0,可口可乐（500ml）,2017/2/8 17:27,D
2.5,2.5,美年达（罐）,2017/2/8 21:45,D
3.0,3.0,雪碧最新款,2017/2/10 13:19,D
3.0,3.0,可口可乐最新款,2017/2/10 14:36,D
3.0,3.0,可口可乐最新款,2017/2/11 14:41,D
4.0,4.0,脉动,2017/2/11 18:59,D
1.0,1.0,香脆肠,2017/2/14 12:22,D
1.0,1.0,香脆肠,2017/2/14 12:41,D
3.0,3.0,卫龙大面筋,2017/2/15 10:39,D
2.5,2.5,维他柠檬茶,2017/2/16 10:55,D
6.0,6.0,250ml红牛,2017/2/16 10:56,D
3.0,3.0,可口可乐最新款,2017/2/16 10:56,D
3.0,3.0,可口可乐（500ml）,2017/2/16 10:59,D
3.0,3.0,维他柠檬茶,2017/2/16 14:19,D
3.0,3.0,统一冰红茶,2017/2/16 15:09,D
2.5,2.5,美年达（罐）,2017/2/16 16:20,D
2.5,2.5,美年达（罐）,2017/2/16 16:22,D
4.0,4.0,银鹭八宝粥,2017/2/16 17:37,D
1.0,1.0,香脆肠,2017/2/16 19:01,D
4.0,4.0,阿萨姆奶茶,2017/2/17 1:17,D
1.0,1.0,香脆肠,2017/2/17 3:35,D
3.0,3.0,统一绿茶,2017/2/17 5:54,D
3.0,3.0,统一绿茶,2017/2/17 17:09,D
2.5,2.5,伊利优酸乳,2017/2/17 17:10,D
3.0,3.0,可口可乐最新款,2017/2/17 17:12,D
3.5,3.5,东鹏特饮,2017/2/17 17:13,D
2.0,2.0,怡宝,2017/2/18 0:27,D
3.0,3.0,可口可乐最新款,2017/2/18 0:28,D
3.5,3.5,东鹏特饮,2017/2/18 9:38,D
3.0,3.0,果粒橙,2017/2/18 14:24,D
3.0,3.0,果粒橙,2017/2/18 15:53,D
3.0,3.0,统一冰红茶,2017/2/18 17:15,D
3.0,3.0,统一绿茶,2017/2/18 22:26,D
3.0,3.0,维他柠檬茶,2017/2/19 12:17,D
3.0,3.0,可口可乐（500ml）,2017/2/19 14:39,D
3.0,3.0,可口可乐最新款,2017/2/19 16:40,D
3.5,3.5,250ml维他原味豆奶,2017/2/19 16:44,D
3.5,3.5,王老吉（罐）,2017/2/19 16:44,D
3.0,3.0,统一冰红茶,2017/2/20 9:16,D
3.0,3.0,统一冰红茶,2017/2/20 11:14,D
4.0,4.0,脉动,2017/2/20 13:34,D
1.0,1.0,香豆干,2017/2/21 8:34,D
2.5,2.5,凤爪,2017/2/21 9:12,D
3.0,3.0,统一冰红茶,2017/2/21 12:57,D
6.0,6.0,红牛,2017/2/22 9:00,D
4.0,4.0,王老吉（罐）,2017/2/22 19:22,D
3.0,3.0,维他柠檬茶,2017/2/23 15:25,D
2.0,2.0,怡宝纯净水,2017/2/23 16:20,D
2.0,2.0,怡宝纯净水,2017/2/23 16:27,D
3.0,3.0,可口可乐最新款,2017/2/23 17:09,D
4.0,4.0,营养快线,2017/2/24 2:16,D
1.0,1.0,香豆干,2017/2/24 8:57,D
2.0,2.0,怡宝纯净水,2017/2/24 11:22,D
3.5,3.5,东鹏特饮,2017/2/24 17:29,D
4.0,4.0,营养快线,2017/2/25 10:39,D
4.0,4.0,脉动,2017/2/25 14:01,D
3.0,3.0,卫龙大面筋,2017/2/26 23:05,D
3.0,3.0,卫龙大面筋,2017/2/27 9:24,D
4.0,4.0,银鹭八宝粥,2017/2/27 12:35,D
3.0,3.0,伊利纯牛奶,2017/2/27 14:49,D
4.0,4.0,阿萨姆奶茶,2017/2/27 16:12,D
3.5,3.5,250ml燕塘原味酸奶,2017/2/27 16:19,D
4.0,4.0,脉动,2017/2/27 16:19,D
3.5,3.5,250ml维他原味豆奶,2017/2/27 16:22,D
3.0,3.0,统一绿茶,2017/2/27 16:22,D
4.0,4.0,脉动,2017/2/27 23:24,D
3.0,3.0,可口可乐最新款,2017/2/28 11:38,D
4.5,4.5,250ml燕塘甜牛奶,2017/3/28 19:56,D
4.0,4.0,脉动,2017/3/28 19:56,D
4.0,4.0,营养快线,2017/3/28 20:29,D
3.5,3.5,250ml维他原味豆奶,2017/3/28 20:33,D
4.0,4.0,王老吉（500ml）,2017/3/28 20:33,D
2.0,2.0,伊利优酸乳,2017/3/28 20:38,D
3.0,3.0,统一绿茶,2017/3/28 20:45,D
3.5,3.5,王老吉（罐）,2017/3/28 20:55,D
3.0,3.0,伊利纯牛奶,2017/3/28 20:56,D
3.5,3.5,可乐可乐,2017/3/28 21:00,D
3.0,3.0,统一绿茶,2017/3/28 21:00,D
3.0,3.0,卫龙大面筋,2017/3/28 21:02,D
1.0,1.0,香脆肠,2017/3/28 21:04,D
1.0,1.0,香脆肠,2017/3/28 21:05,D
3.0,3.0,可口可乐最新款,2017/3/28 21:06,D
3.0,3.0,雪碧最新款,2017/3/28 21:14,D
4.0,4.0,阿萨姆奶茶,2017/3/28 21:16,D
2.0,2.0,怡宝纯净水,2017/3/28 21:20,D
4.0,4.0,营养快线,2017/3/28 21:21,D
4.0,4.0,营养快线,2017/3/28 21:29,D
3.5,3.5,250ml燕塘甜牛奶,2017/3/28 21:31,D
3.5,3.5,王老吉（罐）,2017/3/28 21:31,D
3.5,3.5,250ml燕塘红枣牛奶,2017/3/28 21:35,D
3.5,3.5,王老吉（罐）,2017/3/28 21:35,D
3.0,3.0,雪碧（500ml）,2017/3/28 21:44,D
3.0,3.0,可口可乐最新款,2017/3/28 21:47,D
3.0,3.0,可口可乐（500ml）,2017/3/28 22:06,D
3.5,3.5,东鹏特饮,2017/3/28 22:09,D
2.0,2.0,怡宝纯净水,2017/3/28 22:21,D
1.6,1.6,20g咪咪虾条马来西亚风味,2017/3/28 22:29,D
3.5,3.5,东鹏特饮,2017/3/28 22:29,D
4.0,4.0,王老吉（500ml）,2017/3/28 23:00,D
2.0,2.0,怡宝,2017/3/29 0:07,D
6.5,6.5,70g乐事薯片原味,2017/3/29 3:40,D
3.5,3.5,70g乖媳妇野山泡椒凤爪,2017/3/29 3:44,D
4.0,4.0,健能酸奶,2017/3/29 3:45,D
3.5,3.5,可乐可乐,2017/3/29 4:51,D
3.5,3.5,东鹏特饮,2017/3/29 7:07,D
2.5,2.5,30g元朗小蛋卷,2017/3/29 9:01,D
2.0,2.0,鸭翅,2017/3/29 9:02,D
3.5,3.5,85g新麦潮手撕面包（提子味）,2017/3/29 9:36,D
3.5,3.5,58g丽芝士纳宝帝奶酪威化饼干,2017/3/29 9:40,D
