应付金额,实际金额,商品,支付时间,地点
2.5,2.5,250ml维他奶巧克力味,2017/1/8 23:34,B
3.0,3.0,怡宝纯净水,2017/1/9 0:05,B
3.5,3.5,果粒橙,2017/1/9 0:07,B
4.0,4.0,王老吉（罐）,2017/1/9 0:09,B
4.5,4.5,500ml加多宝,2017/1/9 1:24,B
3.5,3.5,伊利纯牛奶,2017/1/9 2:43,B
3.5,3.5,伊利纯牛奶,2017/1/9 2:44,B
5.0,5.0,王老吉（500ml）,2017/1/9 3:08,B
3.0,3.0,可口可乐最新款,2017/1/9 3:10,B
3.5,3.5,250ml维他奶巧克力味,2017/1/9 3:26,B
3.5,3.5,伊利优酸乳,2017/1/9 3:26,B
3.5,3.5,伊利纯牛奶,2017/1/9 5:07,B
4.0,4.0,熊字饼,2017/1/9 7:36,B
4.5,4.5,250ml燕塘甜牛奶,2017/1/9 7:38,B
3.0,3.0,怡宝纯净水,2017/1/9 7:41,B
3.0,3.0,雪碧最新款,2017/1/9 7:42,B
3.0,3.0,怡宝纯净水,2017/1/9 7:43,B
3.0,3.0,怡宝纯净水,2017/1/9 8:14,B
1.5,1.5,小鱼仔,2017/1/9 8:17,B
4.5,4.5,250ml燕塘甜牛奶,2017/1/9 8:20,B
3.0,3.0,怡宝纯净水,2017/1/9 9:29,B
3.5,3.5,维他原味豆奶,2017/1/9 9:32,B
3.0,3.0,雪碧最新款,2017/1/9 9:32,B
4.5,4.5,40g呀土豆薯片滋香烤鸡味,2017/1/9 9:33,B
3.0,3.0,怡宝纯净水,2017/1/9 9:46,B
4.0,4.0,85g新麦潮北海道吐司,2017/1/9 10:05,B
2.0,2.0,85g新麦潮手撕面包（提子味）,2017/1/9 10:17,B
3.0,3.0,怡宝纯净水,2017/1/9 10:29,B
3.0,3.0,怡宝纯净水,2017/1/9 12:00,B
4.0,4.0,果粒橙,2017/1/9 12:02,B
5.0,5.0,王老吉（500ml）,2017/1/9 12:03,B
5.0,5.0,阿萨姆奶茶,2017/1/9 12:04,B
3.0,3.0,怡宝纯净水,2017/1/9 12:06,B
4.0,4.0,果粒橙,2017/1/9 12:09,B
4.0,4.0,统一冰红茶,2017/1/9 12:11,B
4.0,4.0,果粒橙,2017/1/9 12:15,B
4.5,4.5,500ml农夫果园 (芒果+菠萝+番石榴),2017/1/9 12:17,B
3.0,3.0,怡宝纯净水,2017/1/9 12:17,B
2.0,2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/9 12:18,B
3.0,3.0,怡宝纯净水,2017/1/9 12:18,B
3.5,3.5,统一绿茶,2017/1/9 12:20,B
3.0,3.0,怡宝纯净水,2017/1/9 12:21,B
3.0,3.0,怡宝纯净水,2017/1/9 12:23,B
0.8,0.8,20g咪咪虾条马来西亚风味,2017/1/9 12:29,B
4.0,4.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/9 12:54,B
3.5,3.5,果粒橙,2017/1/9 13:08,B
3.0,3.0,怡宝纯净水,2017/1/9 13:22,B
3.5,3.5,统一冰红茶,2017/1/9 13:36,B
3.0,3.0,雪碧最新款,2017/1/9 13:49,B
3.0,3.0,雪碧最新款,2017/1/9 13:59,B
3.0,3.0,雪碧最新款,2017/1/9 14:14,B
4.0,4.0,40g乐事美国经典原味,2017/1/9 14:41,B
3.5,3.5,250ml维他原味豆奶,2017/1/9 14:46,B
3.0,3.0,雪碧最新款,2017/1/9 14:46,B
3.5,3.5,雪碧330ml,2017/1/9 14:47,B
4.5,4.5,阿萨姆奶茶,2017/1/9 14:48,B
5.0,5.0,王老吉（500ml）,2017/1/9 14:50,B
2.0,2.0,30g无穷农场盐_鸡蛋,2017/1/9 14:51,B
9.0,9.0,480ml小茗同学冷泡青柠红茶,2017/1/9 14:56,B
3.5,3.5,雪碧最新款,2017/1/9 14:56,B
3.0,3.0,怡宝纯净水,2017/1/9 14:58,B
2.0,2.0,鸭翅,2017/1/9 15:17,B
2.5,2.5,250ml统一麦香奶茶,2017/1/9 15:25,B
4.5,4.5,阿萨姆奶茶,2017/1/9 15:30,B
2.0,2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/9 15:46,B
2.0,2.0,85g新麦潮北海道吐司,2017/1/9 15:54,B
4.5,4.5,40g呀土豆薯片滋香烤鸡味,2017/1/9 16:01,B
4.5,4.5,40g呀土豆番茄酱味,2017/1/9 16:42,B
10.5,10.5,85g新麦潮手撕面包（提子味）,2017/1/9 16:56,B
4.0,4.0,银鹭八宝粥,2017/1/9 17:16,B
4.0,4.0,熊字饼,2017/1/9 17:26,B
4.5,4.5,营养快线,2017/1/9 17:41,B
3.0,3.0,熊字饼,2017/1/9 17:46,B
5.5,5.5,70g乐事薯片（黄瓜味）,2017/1/9 18:32,B
3.0,3.0,怡宝纯净水,2017/1/9 20:51,B
3.0,3.0,雪碧最新款,2017/1/9 20:56,B
3.0,3.0,怡宝纯净水,2017/1/9 20:57,B
3.0,3.0,怡宝纯净水,2017/1/9 21:00,B
3.0,3.0,怡宝纯净水,2017/1/9 21:03,B
4.0,4.0,果粒橙,2017/1/9 21:04,B
5.0,5.0,王老吉（500ml）,2017/1/9 21:08,B
4.5,4.5,阿萨姆奶茶,2017/1/9 21:10,B
4.5,4.5,阿萨姆奶茶,2017/1/9 21:12,B
4.5,4.5,阿萨姆奶茶,2017/1/9 21:13,B
3.0,3.0,怡宝纯净水,2017/1/9 21:14,B
3.0,3.0,怡宝纯净水,2017/1/9 21:16,B
3.0,3.0,怡宝纯净水,2017/1/9 21:18,B
3.0,3.0,85g新麦潮北海道吐司,2017/1/9 21:20,B
3.0,3.0,怡宝纯净水,2017/1/9 21:27,B
3.0,3.0,怡宝纯净水,2017/1/9 21:29,B
3.0,3.0,怡宝纯净水,2017/1/9 21:31,B
1.5,1.5,40g双汇玉米热狗肠,2017/1/9 21:36,B
1.5,1.5,香豆干,2017/1/9 21:37,B
5.0,5.0,雪碧（500ml）,2017/1/9 21:46,B
4.0,4.0,阿萨姆奶茶,2017/1/9 21:59,B
4.0,4.0,美汁源果粒橙,2017/1/9 22:35,B
4.0,4.0,250ml燕塘原味酸奶,2017/1/9 22:36,B
5.0,5.0,雪碧（500ml）,2017/1/9 23:13,B
3.5,3.5,伊利优酸乳,2017/1/9 23:33,B
5.0,5.0,营养快线,2017/1/9 23:37,B
3.0,3.0,可口可乐最新款,2017/1/9 23:45,B
3.0,3.0,怡宝纯净水,2017/1/9 23:53,B
4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/9 23:54,B
4.0,4.0,果粒橙,2017/1/9 23:55,B
3.0,3.0,怡宝纯净水,2017/1/10 0:22,B
3.5,3.5,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/10 0:33,B
2.0,2.0,怡宝纯净水,2017/1/10 0:37,B
2.0,2.0,怡宝纯净水,2017/1/10 0:39,B
3.0,3.0,250ml维他奶巧克力味,2017/1/10 0:45,B
3.0,3.0,怡宝纯净水,2017/1/10 0:45,B
3.0,3.0,怡宝纯净水,2017/1/10 0:54,B
1.5,1.5,40g双汇玉米热狗肠,2017/1/10 4:34,B
3.0,3.0,怡宝纯净水,2017/1/10 4:34,B
9.0,9.0,40g呀土豆番茄酱味,2017/1/10 5:14,B
3.5,3.5,东鹏特饮,2017/1/10 5:15,B
3.0,3.0,芬达330ml,2017/1/10 5:32,B
3.5,3.5,雪碧330ml,2017/1/10 6:44,B
1.6,1.6,2g韩国海牌海苔,2017/1/10 7:14,B
3.0,3.0,芬达330ml,2017/1/10 7:43,B
5.0,5.0,阿萨姆奶茶,2017/1/10 8:15,B
4.5,4.5,480ml小茗同学冷泡青柠红茶,2017/1/10 8:35,B
5.0,5.0,阿萨姆奶茶,2017/1/10 9:15,B
3.5,3.5,可乐可乐,2017/1/10 9:15,B
5.0,5.0,营养快线,2017/1/10 9:45,B
3.5,3.5,250ml燕塘红枣牛奶,2017/1/10 9:49,B
3.0,3.0,怡宝纯净水,2017/1/10 9:49,B
3.0,3.0,怡宝纯净水,2017/1/10 10:26,B
3.5,3.5,统一绿茶,2017/1/10 10:45,B
7.0,7.0,160g盼盼手撕面包,2017/1/10 11:39,B
3.0,3.0,怡宝纯净水,2017/1/10 11:39,B
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/10 11:47,B
4.0,4.0,王老吉（罐）,2017/1/10 11:47,B
3.0,3.0,怡宝纯净水,2017/1/10 11:51,B
6.0,6.0,86g合味道海鲜风味,2017/1/10 11:52,B
3.0,3.0,怡宝纯净水,2017/1/10 11:52,B
3.5,3.5,可口可乐330ml,2017/1/10 12:02,B
3.0,3.0,伊利优酸乳,2017/1/10 12:04,B
15.0,15.0,口味王槟榔（红）,2017/1/10 12:09,B
7.0,7.0,80g马赛克香蕉片,2017/1/10 12:11,B
1.5,1.5,香脆肠,2017/1/10 12:12,B
2.0,2.0,凤爪,2017/1/10 12:21,B
2.0,2.0,怡宝纯净水,2017/1/10 13:10,B
7.0,7.0,80g马赛克香蕉片,2017/1/10 13:35,B
3.0,3.0,40g双汇玉米热狗肠,2017/1/10 13:49,B
3.6,3.6,32g卫龙亲嘴烧,2017/1/10 13:57,B
3.0,3.0,雪碧最新款,2017/1/10 14:55,B
3.0,3.0,茉莉蜜茶,2017/1/10 15:06,B
2.0,2.0,30g无穷农场盐_鸡蛋,2017/1/10 15:26,B
3.0,3.0,统一绿茶,2017/1/10 15:34,B
2.5,2.5,250ml维他奶巧克力味,2017/1/10 15:41,B
3.5,3.5,雪碧最新款,2017/1/10 16:01,B
3.5,3.5,600ml可口可乐,2017/1/10 16:13,B
6.5,6.5,430g泰奇八宝粥,2017/1/10 16:23,B
10.0,10.0,225g味之不规则饼干芝士味,2017/1/10 16:31,B
3.0,3.0,可口可乐最新款,2017/1/10 17:31,B
1.0,1.0,咪咪,2017/1/10 17:33,B
1.5,1.5,香脆肠,2017/1/10 17:34,B
3.5,3.5,250ml燕塘原味酸奶,2017/1/10 17:35,B
1.5,1.5,香脆肠,2017/1/10 17:35,B
7.5,7.5,雀巢咖啡,2017/1/10 17:51,B
3.0,3.0,维他柠檬茶,2017/1/10 19:12,B
4.0,4.0,阿萨姆奶茶,2017/1/10 20:19,B
2.0,2.0,怡宝纯净水,2017/1/10 20:32,B
4.0,4.0,营养快线,2017/1/10 21:29,B
5.5,5.5,330ml伊利畅意乳酸菌原味,2017/1/10 21:32,B
1.8,1.8,600ml雪碧,2017/1/10 21:33,B
4.5,4.5,50g上好佳田园薯片番茄味,2017/1/10 21:56,B
6.0,6.0,红牛,2017/1/10 22:17,B
4.0,4.0,营养快线,2017/1/10 22:18,B
3.0,3.0,85g新麦潮手撕面包（提子味）,2017/1/10 22:22,B
4.0,4.0,85g新麦潮北海道吐司,2017/1/10 22:24,B
3.0,3.0,12g劲仔小鱼麻辣味,2017/1/10 22:33,B
4.0,4.0,450ml美汁源果粒橙,2017/1/10 23:12,B
3.0,3.0,250ml维他柠檬茶,2017/1/11 0:08,B
5.5,5.5,430g泰奇八宝粥,2017/1/11 0:45,B
2.5,2.5,30g元朗小蛋卷,2017/1/11 0:53,B
2.0,2.0,怡宝纯净水,2017/1/11 2:35,B
4.0,4.0,营养快线,2017/1/11 2:38,B
3.5,3.5,250ml燕塘原味酸奶,2017/1/11 2:39,B
3.5,3.5,85g新麦潮手撕面包（提子味）,2017/1/11 4:32,B
3.5,3.5,东鹏特饮,2017/1/11 4:32,B
4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/11 4:45,B
3.5,3.5,王老吉（罐）,2017/1/11 6:55,B
3.5,3.5,东鹏特饮,2017/1/11 15:30,B
4.0,4.0,脉动,2017/1/11 15:59,B
4.0,4.0,营养快线,2017/1/11 17:35,B
8.0,8.0,20g咪咪虾条马来西亚风味,2017/1/15 16:27,B
1.6,1.6,20g咪咪虾条马来西亚风味,2017/1/16 16:09,B
3.5,3.5,东鹏特饮,2017/1/16 16:30,B
5.0,5.0,150g洽洽原香瓜子,2017/1/16 17:31,B
4.0,4.0,500ml统一阿萨姆奶茶,2017/1/16 17:35,B
2.0,2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/16 18:56,B
4.0,4.0,85g新麦潮北海道吐司,2017/1/16 20:59,B
1.5,1.5,劲仔小鱼（卤香味）,2017/1/16 22:39,B
5.0,5.0,205g伊利安慕希原味,2017/1/17 0:52,B
2.0,2.0,30g无穷农场盐_鸡蛋,2017/1/17 10:40,B
25.0,25.0,芙蓉王,2017/1/17 10:44,B
4.0,4.0,脉动,2017/1/19 21:37,B
2.5,2.5,250ml维他柠檬茶,2017/1/20 17:28,B
1.5,1.5,12g劲仔小鱼麻辣味,2017/1/22 12:31,B
1.5,1.5,鸭翅,2017/1/22 18:15,B
2.5,2.5,伊利优酸乳,2017/1/22 19:57,B
2.0,2.0,85g新麦潮手撕面包（提子味）,2017/1/23 0:06,B
9.0,9.0,250ml燕塘红枣牛奶,2017/1/23 16:20,B
4.0,4.0,熊字饼,2017/1/23 16:20,B
4.0,4.0,脉动,2017/1/23 17:39,B
3.0,3.0,250ml维他奶巧克力味,2017/1/26 21:12,B
3.0,3.0,250ml维他柠檬茶,2017/1/26 22:22,B
3.0,3.0,250ml维他柠檬茶,2017/1/27 16:14,B
1.5,1.5,香豆干,2017/1/27 16:14,B
2.5,2.5,145ml旺仔牛奶盒装,2017/1/27 16:22,B
1.5,1.5,45g双汇泡面拍挡,2017/1/27 16:22,B
3.5,3.5,东鹏特饮,2017/1/27 16:22,B
5.0,5.0,370g泰奇八宝粥,2017/1/27 16:27,B
1.0,1.0,香豆干,2017/1/27 16:27,B
3.5,3.5,东鹏特饮,2017/1/29 11:14,B
2.0,2.0,鸭翅,2017/1/29 13:41,B
4.0,4.0,王老吉（500ml）,2017/1/29 15:38,B
4.5,4.5,55g奥利奥原味芝士饼干,2017/1/29 19:04,B
6.0,6.0,86g合味道海鲜风味,2017/1/29 23:09,B
6.0,6.0,330ml伊利畅意乳酸菌原味,2017/1/30 0:05,B
3.5,3.5,250ml燕塘红枣牛奶,2017/1/30 7:51,B
5.5,5.5,70g乐事薯片（原味）,2017/1/30 7:54,B
10.0,10.0,225g味之不规则饼干芝士味,2017/1/30 9:43,B
6.0,6.0,红牛,2017/1/30 12:17,B
3.0,3.0,卫龙大面筋,2017/1/30 12:24,B
4.5,4.5,78g卫龙亲嘴语辣条,2017/1/30 13:03,B
6.0,6.0,160g盼盼手撕面包,2017/1/30 13:38,B
6.0,6.0,160g盼盼手撕面包,2017/1/30 13:56,B
2.0,2.0,5片装益达绿箭口香糖,2017/1/30 14:16,B
3.0,3.0,250ml维他柠檬茶,2017/1/30 14:23,B
2.0,2.0,怡宝纯净水,2017/1/30 14:23,B
3.0,3.0,450ml美汁源果粒橙,2017/1/30 14:33,B
1.5,1.5,鸭翅,2017/1/30 14:33,B
2.0,2.0,30g无穷农场盐_鸡蛋,2017/1/30 14:39,B
1.0,1.0,香豆干,2017/1/30 14:39,B
9.0,9.0,40g乐事薯片黄瓜味,2017/1/30 14:47,B
2.5,2.5,250ml维他原味豆奶,2017/1/30 14:55,B
1.0,1.0,香豆干,2017/1/30 16:08,B
3.5,3.5,雪碧（500ml）,2017/1/30 16:09,B
4.0,4.0,东鹏特饮,2017/1/30 16:33,B
1.5,1.5,40g双汇玉米热狗肠,2017/1/30 16:39,B
30.0,30.0,13g无穷烤鸡小腿蜂蜜味,2017/1/30 17:38,B
6.0,6.0,红牛,2017/1/30 20:50,B
3.0,3.0,450ml美汁源果粒橙,2017/1/30 21:07,B
2.0,2.0,怡宝纯净水,2017/1/30 21:07,B
3.0,3.0,45g双汇泡面拍挡,2017/1/30 21:50,B
1.0,1.0,香豆干,2017/1/30 21:50,B
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/30 22:40,B
1.5,1.5,40g双汇玉米热狗肠,2017/1/30 23:02,B
5.5,5.5,500ML宝矿力,2017/1/30 23:25,B
4.0,4.0,30g无穷农场盐_鸡蛋,2017/1/30 23:34,B
2.0,2.0,怡宝纯净水,2017/1/31 14:14,B
6.0,6.0,红牛,2017/1/31 14:42,B
6.0,6.0,红牛,2017/1/31 14:49,B
6.0,6.0,红牛,2017/1/31 15:02,B
3.5,3.5,东鹏特饮,2017/1/31 15:03,B
10.0,10.0,口味王槟榔（绿）,2017/1/31 15:29,B
3.5,3.5,东鹏特饮,2017/1/31 15:30,B
4.0,4.0,脉动,2017/1/31 15:59,B
3.0,3.0,卫龙大面筋,2017/1/31 16:07,B
4.5,4.5,好吃点,2017/1/31 16:09,B
3.0,3.0,统一冰红茶,2017/1/31 16:12,B
3.0,3.0,统一冰红茶,2017/1/31 16:13,B
2.0,2.0,怡宝纯净水,2017/1/31 16:33,B
3.5,3.5,王老吉（罐）,2017/1/31 17:21,B
3.0,3.0,熊字饼,2017/1/31 17:35,B
4.0,4.0,脉动,2017/1/31 17:39,B
4.0,4.0,王老吉（500ml）,2017/1/31 18:24,B
3.5,3.5,东鹏特饮,2017/1/31 18:40,B
4.0,4.0,脉动,2017/1/31 19:39,B
3.0,3.0,雪碧最新款,2017/1/31 20:05,B
1.0,1.0,香豆干,2017/1/31 20:21,B
2.0,2.0,怡宝纯净水,2017/1/31 20:22,B
1.5,1.5,香脆肠,2017/1/31 21:10,B
3.0,3.0,可口可乐330ml,2017/1/31 21:43,B
1.5,1.5,鸭翅,2017/1/31 21:52,B
1.5,1.5,香脆肠,2017/1/31 21:55,B
3.5,3.5,东鹏特饮,2017/1/31 22:39,B
1.5,1.5,鸭翅,2017/1/31 22:55,B
2.0,2.0,怡宝纯净水,2017/1/31 22:56,B
4.0,4.0,营养快线,2017/1/31 23:18,B
1.0,1.0,香豆干,2017/1/31 23:25,B
3.5,3.5,东鹏特饮,2017/1/31 23:40,B
1.5,1.5,香脆肠,2017/1/31 23:46,B
3.5,3.5,东鹏特饮,2017/2/1 9:13,B
3.5,3.5,东鹏特饮,2017/2/1 14:09,B
3.5,3.5,东鹏特饮,2017/2/1 14:15,B
4.0,4.0,脉动,2017/2/1 14:28,B
2.0,2.0,怡宝纯净水,2017/2/1 14:29,B
2.5,2.5,雪碧330ml,2017/2/1 14:32,B
2.0,2.0,怡宝纯净水,2017/2/1 14:38,B
3.5,3.5,东鹏特饮,2017/2/1 15:57,B
3.5,3.5,东鹏特饮,2017/2/1 16:34,B
4.0,4.0,王老吉（500ml）,2017/2/1 16:48,B
2.5,2.5,怡宝纯净水,2017/2/1 16:49,B
4.0,4.0,银鹭八宝粥,2017/2/1 16:51,B
4.0,4.0,银鹭八宝粥,2017/2/1 17:08,B
2.5,2.5,怡宝纯净水,2017/2/1 17:12,B
3.5,3.5,东鹏特饮,2017/2/1 17:25,B
2.0,2.0,鸭翅,2017/2/1 17:53,B
2.0,2.0,怡宝纯净水,2017/2/1 22:42,B
4.0,4.0,王老吉（500ml）,2017/2/2 8:43,B
4.0,4.0,营养快线,2017/2/2 9:02,B
2.0,2.0,怡宝纯净水,2017/2/2 9:04,B
3.5,3.5,东鹏特饮,2017/2/2 10:10,B
3.5,3.5,东鹏特饮,2017/2/2 10:18,B
2.0,2.0,怡宝纯净水,2017/2/2 10:47,B
4.0,4.0,营养快线,2017/2/2 10:54,B
4.0,4.0,脉动,2017/2/2 12:28,B
1.5,1.5,鸭翅,2017/2/2 12:42,B
3.5,3.5,东鹏特饮,2017/2/2 12:43,B
3.0,3.0,印尼芝士威化饼干,2017/2/2 14:30,B
1.0,1.0,香豆干,2017/2/2 14:54,B
3.5,3.5,东鹏特饮,2017/2/2 19:13,B
2.5,2.5,怡宝纯净水,2017/2/2 20:14,B
2.0,2.0,怡宝纯净水,2017/2/2 21:01,B
2.5,2.5,怡宝纯净水,2017/2/2 22:42,B
6.0,6.0,红牛,2017/2/2 23:18,B
6.0,6.0,红牛,2017/2/2 23:48,B
4.0,4.0,营养快线,2017/2/3 11:41,B
3.0,3.0,果粒橙,2017/2/3 11:48,B
3.0,3.0,果粒橙,2017/2/3 14:17,B
10.0,10.0,湘潭铺子(羽泉版),2017/2/3 14:20,B
2.0,2.0,怡宝纯净水,2017/2/3 14:55,B
1.0,1.0,手撕素肉排,2017/2/3 16:02,B
1.0,1.0,好吃点小饼干,2017/2/3 16:23,B
2.0,2.0,怡宝纯净水,2017/2/3 19:32,B
4.0,4.0,营养快线,2017/2/4 8:12,B
2.0,2.0,怡宝纯净水,2017/2/4 8:55,B
4.0,4.0,营养快线,2017/2/4 8:57,B
6.0,6.0,红牛,2017/2/4 8:59,B
3.5,3.5,东鹏特饮,2017/2/4 9:00,B
2.0,2.0,伊利优酸乳,2017/2/4 9:02,B
3.5,3.5,东鹏特饮,2017/2/4 9:04,B
2.0,2.0,鸭翅,2017/2/4 9:17,B
3.0,3.0,可口可乐最新款,2017/2/4 9:19,B
4.0,4.0,王老吉（500ml）,2017/2/4 12:19,B
3.5,3.5,东鹏特饮,2017/2/4 12:27,B
3.0,3.0,可口可乐最新款,2017/2/4 12:35,B
2.5,2.5,怡宝纯净水,2017/2/4 13:48,B
4.0,4.0,银鹭八宝粥,2017/2/4 14:24,B
2.5,2.5,怡宝纯净水,2017/2/4 15:32,B
3.0,3.0,印尼芝士威化饼干,2017/2/4 16:00,B
4.0,4.0,王老吉（500ml）,2017/2/4 16:32,B
1.0,1.0,好吃点小饼干,2017/2/4 16:38,B
2.0,2.0,怡宝纯净水,2017/2/4 16:57,B
2.0,2.0,怡宝纯净水,2017/2/4 17:23,B
6.0,6.0,红牛,2017/2/4 19:35,B
1.0,1.0,香豆干,2017/2/5 2:40,B
4.0,4.0,脉动,2017/2/5 8:33,B
3.0,3.0,怡宝,2017/2/5 8:46,B
3.0,3.0,卫龙大面筋,2017/2/5 10:28,B
4.0,4.0,阿萨姆奶茶,2017/2/5 10:58,B
1.0,1.0,香豆干,2017/2/5 12:17,B
4.0,4.0,营养快线,2017/2/5 12:41,B
3.0,3.0,卫龙大面筋,2017/2/5 13:35,B
4.5,4.5,阿萨姆奶茶,2017/2/5 13:58,B
4.0,4.0,王老吉（500ml）,2017/2/5 14:08,B
2.0,2.0,怡宝纯净水,2017/2/5 14:18,B
4.0,4.0,脉动,2017/2/5 14:47,B
4.5,4.5,椰树牌椰汁,2017/2/5 14:55,B
6.0,6.0,安慕希酸奶,2017/2/5 16:42,B
5.5,5.5,205g伊利安慕希原味,2017/2/5 17:41,B
5.0,5.0,500ml统一阿萨姆奶茶,2017/2/5 17:41,B
2.0,2.0,鸭翅,2017/2/5 17:41,B
2.5,2.5,伊利优酸乳,2017/2/5 17:42,B
