应付金额,实际金额,商品,支付时间,地点
3.0,3.0,怡宝纯净水,2017/1/10 14:55,C
2.5,2.5,85g新麦潮北海道吐司,2017/1/10 15:06,C
5.0,5.0,营养快线,2017/1/10 15:06,C
4.0,4.0,盼盼手撕面包,2017/1/10 15:08,C
3.5,3.5,250ML东鹏特饮,2017/1/10 15:09,C
5.0,5.0,脉动,2017/1/10 15:09,C
3.0,3.0,250ml维他柠檬茶,2017/1/10 15:10,C
6.5,6.5,430g泰奇八宝粥,2017/1/10 15:25,C
2.0,2.0,鸭翅,2017/1/10 15:34,C
4.5,4.5,80g香飘飘椰果奶茶麦香味,2017/1/10 16:01,C
4.0,4.0,统一冰红茶,2017/1/10 16:01,C
4.5,4.5,40g乐事薯片黄瓜味,2017/1/10 16:15,C
4.5,4.5,55g奥利奥原味夹心饼干,2017/1/10 16:20,C
1.6,1.6,2g韩国海牌海苔,2017/1/10 16:27,C
3.5,3.5,芬达330ml,2017/1/10 16:28,C
1.8,1.8,32g卫龙亲嘴烧,2017/1/10 16:29,C
5.0,5.0,脉动,2017/1/10 16:29,C
8.0,8.0,250ml燕塘红枣牛奶,2017/1/10 16:49,C
12.0,12.0,250ml红牛,2017/1/10 17:10,C
3.0,3.0,12g劲仔小鱼麻辣味,2017/1/10 17:11,C
3.5,3.5,500ml加多宝,2017/1/10 17:30,C
4.0,4.0,果粒橙,2017/1/10 17:30,C
4.0,4.0,果粒橙,2017/1/10 17:31,C
3.0,3.0,怡宝纯净水,2017/1/10 17:32,C
3.5,3.5,维他原味豆奶,2017/1/10 17:33,C
3.0,3.0,怡宝纯净水,2017/1/10 17:33,C
5.0,5.0,阿萨姆奶茶,2017/1/10 17:34,C
5.0,5.0,王老吉（500ml）,2017/1/10 17:35,C
3.0,3.0,怡宝纯净水,2017/1/10 17:36,C
3.5,3.5,芬达330ml,2017/1/10 17:37,C
3.5,3.5,维他原味豆奶,2017/1/10 17:37,C
5.0,5.0,脉动,2017/1/10 17:39,C
3.5,3.5,统一绿茶,2017/1/10 17:42,C
3.5,3.5,维他原味豆奶,2017/1/10 17:42,C
3.5,3.5,250ml燕塘甜牛奶,2017/1/10 17:44,C
3.0,3.0,怡宝纯净水,2017/1/10 17:44,C
3.5,3.5,维他柠檬茶,2017/1/10 17:47,C
3.0,3.0,怡宝纯净水,2017/1/10 17:47,C
3.5,3.5,85g新麦潮手撕面包（提子味）,2017/1/10 17:48,C
4.0,4.0,果粒橙,2017/1/10 17:48,C
5.0,5.0,王老吉（500ml）,2017/1/10 17:52,C
4.5,4.5,78g卫龙亲嘴语辣条,2017/1/10 17:58,C
3.0,3.0,怡宝纯净水,2017/1/10 18:19,C
3.0,3.0,怡宝纯净水,2017/1/10 18:21,C
0.0,0.0,40g双汇玉米热狗肠,2017/1/10 18:24,C
2.0,2.0,双汇玉米热狗肠,2017/1/10 18:50,C
3.0,3.0,怡宝纯净水,2017/1/10 19:10,C
3.5,3.5,雪碧330ml,2017/1/10 19:12,C
4.5,4.5,脉动,2017/1/10 19:13,C
5.0,5.0,脉动,2017/1/10 19:16,C
3.0,3.0,怡宝纯净水,2017/1/10 19:18,C
6.0,6.0,86g合味道浓猪骨味,2017/1/10 19:40,C
4.0,4.0,东鹏特饮,2017/1/10 19:47,C
1.5,1.5,40g双汇玉米热狗肠,2017/1/10 19:49,C
4.0,4.0,果粒橙,2017/1/10 19:56,C
5.0,5.0,王老吉（500ml）,2017/1/10 19:58,C
3.5,3.5,250ml燕塘红枣牛奶,2017/1/10 20:07,C
3.5,3.5,可口可乐330ml,2017/1/10 20:07,C
3.0,3.0,怡宝纯净水,2017/1/10 20:16,C
4.5,4.5,78g卫龙亲嘴语辣条,2017/1/10 20:18,C
5.0,5.0,阿萨姆奶茶,2017/1/10 20:19,C
3.5,3.5,芬达330ml,2017/1/10 20:21,C
3.0,3.0,怡宝纯净水,2017/1/10 20:32,C
5.0,5.0,脉动,2017/1/10 20:33,C
5.0,5.0,250ml王老吉盒装,2017/1/10 21:09,C
5.0,5.0,王老吉（500ml）,2017/1/10 21:10,C
4.0,4.0,55g奥利奥原味芝士饼干,2017/1/10 21:22,C
3.0,3.0,怡宝纯净水,2017/1/10 21:29,C
0.8,0.8,咪咪虾条马来西亚风味,2017/1/10 21:31,C
10.0,10.0,225g味之不规则饼干芝士味,2017/1/10 21:48,C
2.8,2.8,250ml维他原味豆奶,2017/1/10 22:02,C
4.0,4.0,王老吉（罐）,2017/1/10 22:12,C
5.5,5.5,330ml伊利畅意乳酸菌原味,2017/1/10 22:15,C
3.0,3.0,怡宝纯净水,2017/1/10 22:17,C
3.5,3.5,雪碧最新款,2017/1/10 22:18,C
3.0,3.0,可口可乐最新款,2017/1/10 22:23,C
5.0,5.0,王老吉（500ml）,2017/1/10 22:25,C
5.0,5.0,营养快线,2017/1/10 22:42,C
7.0,7.0,150g洽洽原香瓜子,2017/1/10 22:50,C
4.5,4.5,250ml燕塘甜牛奶,2017/1/10 22:54,C
3.6,3.6,600ml雪碧,2017/1/10 23:24,C
4.5,4.5,燕塘原味酸奶,2017/1/10 23:34,C
0.0,0.0,85g新麦潮北海道吐司,2017/1/10 23:36,C
5.0,5.0,营养快线,2017/1/10 23:48,C
3.5,3.5,600ml可口可乐,2017/1/11 0:05,C
3.0,3.0,雪碧最新款,2017/1/11 0:05,C
7.0,7.0,40g卫龙点心面黑椒牛排味,2017/1/11 0:28,C
3.0,3.0,怡宝纯净水,2017/1/11 0:28,C
5.5,5.5,55g奥利奥迷你杯夹心小饼干杯装原味,2017/1/11 0:32,C
1.5,1.5,小鱼仔,2017/1/11 0:32,C
8.5,8.5,225g味之不规则饼干芝士味,2017/1/11 0:47,C
3.5,3.5,250ml燕塘甜牛奶,2017/1/11 1:04,C
1.5,1.5,小鱼仔,2017/1/11 1:04,C
51.0,51.0,188g澳门永辉鸡仔饼,2017/1/11 1:29,C
3.5,3.5,芬达330ml,2017/1/11 2:35,C
4.0,4.0,王老吉（罐）,2017/1/11 2:38,C
5.0,5.0,王老吉（500ml）,2017/1/11 2:40,C
3.5,3.5,600ml雪碧,2017/1/11 4:20,C
3.5,3.5,500ml统一冰糖雪梨,2017/1/11 4:28,C
4.0,4.0,统一冰红茶,2017/1/11 4:28,C
3.0,3.0,45g双汇泡面拍挡,2017/1/11 4:29,C
3.0,3.0,怡宝纯净水,2017/1/11 4:33,C
1.5,1.5,劲仔小鱼（麻辣味）,2017/1/11 4:44,C
3.0,3.0,怡宝纯净水,2017/1/11 4:56,C
3.0,3.0,怡宝纯净水,2017/1/11 4:57,C
4.5,4.5,40g上好佳日式鱼果,2017/1/11 5:03,C
7.0,7.0,40g乐事薯片墨西哥鸡汁番茄味,2017/1/11 5:04,C
3.0,3.0,怡宝纯净水,2017/1/11 6:55,C
5.0,5.0,500ml统一阿萨姆奶茶,2017/1/11 7:34,C
1.8,1.8,600ml雪碧,2017/1/13 12:36,C
2.5,2.5,30g元朗小蛋卷,2017/1/15 16:26,C
6.5,6.5,430g泰奇八宝粥,2017/1/15 22:33,C
4.5,4.5,78g卫龙亲嘴语辣条,2017/1/16 14:23,C
4.5,4.5,52g旺旺仙贝,2017/1/16 15:42,C
4.0,4.0,55g奥利奥原味夹心饼干,2017/1/16 15:57,C
4.0,4.0,55g奥利奥原味芝士饼干,2017/1/16 15:58,C
3.0,3.0,卫龙大面筋,2017/1/16 16:30,C
1.5,1.5,劲仔小鱼（卤香味）,2017/1/16 17:28,C
2.5,2.5,250ml统一麦香奶茶,2017/1/16 17:38,C
3.5,3.5,东鹏特饮,2017/1/16 17:48,C
6.0,6.0,85g新麦潮手撕面包（提子味）,2017/1/16 17:56,C
15.0,15.0,和成天下（红）,2017/1/16 18:01,C
4.5,4.5,250ml燕塘红枣牛奶,2017/1/16 19:47,C
3.5,3.5,东鹏特饮,2017/1/16 22:36,C
4.5,4.5,燕塘红枣牛奶,2017/1/17 10:37,C
3.0,3.0,统一绿茶,2017/1/17 10:44,C
4.5,4.5,营养快线,2017/1/19 21:37,C
3.2,3.2,2g韩国海牌海苔,2017/1/19 23:02,C
3.5,3.5,雪碧,2017/1/21 12:06,C
5.0,5.0,王老吉（500ml）,2017/1/21 17:56,C
3.0,3.0,果粒橙,2017/1/21 18:25,C
2.5,2.5,58g丽芝士纳宝帝奶酪威化饼干,2017/1/21 23:45,C
4.0,4.0,银鹭八宝粥,2017/1/21 23:45,C
3.0,3.0,85g新麦潮北海道吐司,2017/1/22 12:34,C
4.5,4.5,燕塘原味酸奶,2017/1/22 18:14,C
3.0,3.0,250ml维他柠檬茶,2017/1/22 19:55,C
1.5,1.5,12g劲仔小鱼麻辣味,2017/1/22 19:56,C
6.0,6.0,123gUFO炒面XO酱海鲜风味,2017/1/22 23:45,C
3.5,3.5,统一绿茶,2017/1/24 21:40,C
4.5,4.5,78g卫龙亲嘴语辣条,2017/1/25 12:21,C
3.0,3.0,怡宝,2017/1/25 21:43,C
3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017/1/26 8:55,C
2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/26 21:14,C
3.0,3.0,250ml维他奶巧克力味,2017/1/27 16:16,C
4.0,4.0,阿萨姆奶茶,2017/1/27 16:22,C
14.0,14.0,合味道（海鲜风味）,2017/1/28 9:19,C
4.0,4.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/28 9:32,C
4.5,4.5,40g乐事美国经典原味,2017/1/28 16:09,C
3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/28 18:10,C
10.0,10.0,37.5g费列罗榛果威化巧克力3颗,2017/1/29 8:16,C
1.8,1.8,32g卫龙亲嘴烧红烧牛肉味,2017/1/29 11:17,C
4.0,4.0,美汁源果粒橙,2017/1/29 11:18,C
2.5,2.5,250ml维他奶巧克力味,2017/1/29 13:53,C
3.0,3.0,芬达330ml,2017/1/29 15:38,C
3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/29 15:56,C
3.0,3.0,芬达330ml,2017/1/29 15:56,C
4.5,4.5,250ml燕塘原味酸奶,2017/1/29 18:18,C
6.0,6.0,250ml维他柠檬茶,2017/1/29 18:24,C
4.5,4.5,250ml燕塘原味酸奶,2017/1/29 18:28,C
2.0,2.0,40g双汇玉米热狗肠,2017/1/29 19:05,C
2.5,2.5,无穷农场盐_鸡蛋,2017/1/29 19:06,C
2.0,2.0,85g新麦潮手撕面包（提子味）,2017/1/29 19:39,C
6.0,6.0,330ml伊利畅意乳酸菌原味,2017/1/29 22:17,C
6.0,6.0,330ml伊利畅意乳酸菌原味,2017/1/29 23:15,C
3.0,3.0,雪碧最新款,2017/1/29 23:37,C
4.0,4.0,银鹭八宝粥,2017/1/30 2:49,C
4.0,4.0,450ml美汁源果粒橙,2017/1/30 5:05,C
2.5,2.5,250ml统一麦香奶茶,2017/1/30 6:26,C
5.0,5.0,205g伊利安慕希原味,2017/1/30 7:42,C
2.0,2.0,30g无穷农场盐_鸡蛋,2017/1/30 9:29,C
27.0,27.0,55g奥利奥原味夹心饼干,2017/1/30 9:35,C
3.0,3.0,统一绿茶,2017/1/30 12:17,C
7.0,7.0,78g卫龙亲嘴语辣条,2017/1/30 12:28,C
2.0,2.0,双汇玉米热狗肠,2017/1/30 12:30,C
3.0,3.0,250ml维他原味豆奶,2017/1/30 13:35,C
1.6,1.6,咪咪虾条马来西亚风味,2017/1/30 13:59,C
4.0,4.0,55g奥利奥原味芝士饼干,2017/1/30 14:45,C
1.5,1.5,40g双汇玉米热狗肠,2017/1/30 15:58,C
1.2,1.2,康师傅矿泉水,2017/1/30 16:08,C
4.5,4.5,燕塘甜牛奶,2017/1/30 16:12,C
3.5,3.5,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/30 16:29,C
3.0,3.0,85g新麦潮北海道吐司,2017/1/30 19:44,C
7.0,7.0,合味道（海鲜风味）,2017/1/30 21:16,C
4.5,4.5,营养快线,2017/1/30 21:35,C
4.5,4.5,250ml燕塘原味酸奶,2017/1/30 21:51,C
4.5,4.5,脉动,2017/1/30 22:00,C
2.0,2.0,85g新麦潮北海道吐司,2017/1/30 23:33,C
2.0,2.0,怡宝纯净水,2017/1/31 13:50,C
2.0,2.0,怡宝纯净水,2017/1/31 14:09,C
3.0,3.0,卫龙大面筋,2017/1/31 14:10,C
3.5,3.5,东鹏特饮,2017/1/31 14:21,C
2.0,2.0,香脆肠,2017/1/31 15:46,C
2.5,2.5,凤爪,2017/1/31 16:25,C
3.0,3.0,卫龙大面筋,2017/1/31 17:09,C
3.0,3.0,卫龙大面筋,2017/1/31 17:41,C
2.0,2.0,鸭翅,2017/1/31 17:42,C
3.0,3.0,印尼芝士威化饼干,2017/1/31 17:55,C
4.0,4.0,统一冰红茶,2017/1/31 17:56,C
4.0,4.0,脉动,2017/1/31 18:16,C
4.0,4.0,脉动,2017/1/31 18:27,C
3.0,3.0,可口可乐最新款,2017/1/31 18:33,C
3.0,3.0,怡宝,2017/1/31 18:42,C
3.0,3.0,怡宝,2017/1/31 19:42,C
3.0,3.0,卫龙大面筋,2017/1/31 19:54,C
3.0,3.0,怡宝,2017/1/31 19:55,C
3.0,3.0,果粒橙,2017/1/31 20:49,C
3.0,3.0,雪碧最新款,2017/1/31 21:02,C
1.5,1.5,小鱼仔,2017/1/31 21:31,C
3.5,3.5,果粒橙,2017/1/31 21:39,C
3.5,3.5,果粒橙,2017/1/31 21:40,C
4.0,4.0,脉动,2017/1/31 21:51,C
4.5,4.5,营养快线,2017/1/31 22:00,C
4.0,4.0,王老吉（罐）,2017/1/31 22:16,C
3.0,3.0,怡宝,2017/1/31 22:38,C
3.0,3.0,怡宝,2017/1/31 22:54,C
4.0,4.0,阿萨姆奶茶,2017/1/31 23:24,C
3.0,3.0,雪碧最新款,2017/1/31 23:37,C
3.0,3.0,卫龙大面筋,2017/2/1 9:10,C
3.0,3.0,印尼芝士威化饼干,2017/2/1 9:12,C
3.0,3.0,卫龙大面筋,2017/2/1 12:53,C
3.5,3.5,东鹏特饮,2017/2/1 13:04,C
3.5,3.5,雪碧最新款,2017/2/1 14:32,C
3.0,3.0,可口可乐最新款,2017/2/1 15:15,C
4.0,4.0,阿萨姆煎茶奶绿,2017/2/1 15:50,C
4.0,4.0,阿萨姆煎茶奶绿,2017/2/1 16:20,C
3.0,3.0,可口可乐最新款,2017/2/1 16:23,C
3.0,3.0,维他奶,2017/2/1 16:50,C
1.5,1.5,小鱼仔,2017/2/1 17:10,C
1.5,1.5,小鱼仔,2017/2/1 17:17,C
2.0,2.0,鸭翅,2017/2/1 20:18,C
2.0,2.0,鸭翅,2017/2/1 20:55,C
3.5,3.5,王老吉（罐）,2017/2/1 20:59,C
2.5,2.5,怡宝纯净水,2017/2/1 21:50,C
3.0,3.0,13g无穷烤鸡小腿蜂蜜味,2017/2/1 22:42,C
5.0,5.0,王老吉（500ml）,2017/2/1 22:42,C
3.0,3.0,雪碧最新款,2017/2/1 23:29,C
1.5,1.5,卫龙亲嘴烧红烧牛肉味,2017/2/2 0:00,C
4.5,4.5,营养快线,2017/2/2 0:00,C
3.0,3.0,可口可乐最新款,2017/2/2 8:22,C
4.0,4.0,450ml美汁源果粒橙,2017/2/2 8:50,C
4.5,4.5,阿萨姆奶茶,2017/2/2 8:50,C
3.5,3.5,果粒橙,2017/2/2 8:52,C
3.5,3.5,可乐可乐,2017/2/2 8:52,C
6.5,6.5,250ml红牛,2017/2/2 9:00,C
3.5,3.5,果粒橙,2017/2/2 9:00,C
3.5,3.5,东鹏特饮,2017/2/2 9:05,C
4.0,4.0,阿萨姆奶茶,2017/2/2 9:20,C
4.0,4.0,营养快线,2017/2/2 10:55,C
4.0,4.0,营养快线,2017/2/2 11:29,C
2.5,2.5,凤爪,2017/2/2 12:18,C
6.0,6.0,红牛,2017/2/2 13:38,C
4.0,4.0,营养快线,2017/2/2 15:55,C
4.0,4.0,阿萨姆奶茶,2017/2/2 15:58,C
3.0,3.0,印尼芝士威化饼干,2017/2/2 19:08,C
3.0,3.0,统一冰红茶,2017/2/2 20:49,C
1.0,1.0,香豆干,2017/2/2 20:53,C
15.0,15.0,口味王槟榔（红）,2017/2/3 9:05,C
15.0,15.0,口味王槟榔（红）,2017/2/3 14:59,C
3.0,3.0,冰糖雪梨,2017/2/3 16:25,C
4.0,4.0,脉动,2017/2/3 19:12,C
4.0,4.0,阿萨姆奶茶,2017/2/3 19:32,C
6.0,6.0,红牛,2017/2/3 20:19,C
1.5,1.5,小鱼仔,2017/2/3 21:18,C
2.0,2.0,香脆肠,2017/2/3 21:24,C
3.0,3.0,统一冰红茶,2017/2/3 21:48,C
3.0,3.0,果粒橙,2017/2/4 8:40,C
1.5,1.5,小鱼仔,2017/2/4 8:58,C
4.0,4.0,营养快线,2017/2/4 9:32,C
1.0,1.0,香豆干,2017/2/4 9:37,C
2.0,2.0,香脆肠,2017/2/4 10:04,C
2.0,2.0,香脆肠,2017/2/4 10:41,C
4.0,4.0,脉动,2017/2/4 12:01,C
4.0,4.0,脉动,2017/2/4 12:04,C
4.5,4.5,阿萨姆奶茶,2017/2/4 12:12,C
2.0,2.0,香脆肠,2017/2/4 12:29,C
3.5,3.5,统一冰红茶,2017/2/4 13:08,C
